companyname,skills Required,informationn
,,
"
IvanInfotechPvt.Ltd.

","

rest,python,security,debugging

",https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
,,
"
eastindiasecuritiesltd.

","
python,hadoop,machinelearning

",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
,,
"
eastindiasecuritiesltd.

","
python,hadoop,machinelearning

",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
,,
"
eastindiasecuritiesltd.

","
python,hadoop,machinelearning

",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
,,
"
arttechnologyandsoftwareindiapvtltd

","

rest,python,database,django,api

",https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-M26lxDEd__PLUS__qtzpSvf__PLUS__uAgZw==&source=srp
,,
"
youngmindstechnologysolutionspvtltd

","
python,html5,storage,javascript,security,django

",https://www.timesjobs.com/job-detail/python-developer-young-minds-technology-solutions-pvt-ltd-tirupati-0-to-3-yrs-jobid-NDA__SLASH__WwOTUCFzpSvf__PLUS__uAgZw==&source=srp
,,
"
day1technologies

","

rest,python,django,git,postgresql,sql,docker

",https://www.timesjobs.com/job-detail/python-developer-day1-technologies-bengaluru-bangalore-2-to-3-yrs-jobid-wnkkahyN0x9zpSvf__PLUS__uAgZw==&source=srp
,,
